urls,标题,标签,简介,封面图片,标题分数,标签分数,封面图片分数,简介分数
https://www.bilibili.com/video/BV1EB4y1S7TT/,【美帝霸权三头犬 01】日本，东亚搅屎棍,历史 东京 美国 日本 天皇 自卫队 东北亚 东亚 美日安保条约 历史人文档案馆 历史人文档案馆2022第二季 ,一键三连，推荐给更多的朋友！,http://i1.hdslb.com/bfs/archive/9396f5c7e6d9c313ad62ec9ca105c44932d725b1.jpg,0.24478531173455215,0.29670081122577385,-1.0625,
https://www.bilibili.com/video/BV1XB4y1S7Xg/,【美帝霸权三头犬 02】美帝如何踩着英帝控制欧洲,欧洲 苏联 伊丽莎白 历史 伦敦 美国 英国 王骁 马岛战争 历史人文档案馆 历史人文档案馆2022第二季 ,一键三连，推荐给更多的朋友！一起变得更强！ 【美帝三头犬 01】日本篇传送门：BV1EB4y1S7TT,http://i2.hdslb.com/bfs/archive/38cc48ac899f705e0abf7303a933f61ebfd97d96.jpg,0.24472191569566393,0.2967008112257738,-1.4375,
https://www.bilibili.com/video/BV16Z4y1Y7mF/,【美帝三头犬 04 牵绳人】为什么美国是最差的帝国主义,历史 美国 日本 二战 美军 王骁 杜鲁门 罗斯福 五大国 历史人文档案馆 历史人文档案馆2022第二季 ,一键三连，推荐给更多朋友！一起变得更强！ 【美帝三头犬 01】日本篇传送门：BV1EB4y1S7TT 【美帝三头犬 02】英国篇传送门：BV1XB4y1S7Xg 【美帝三头犬 03】澳大利亚篇传送门：BV16G411x7Kq,http://i2.hdslb.com/bfs/archive/f86ed469f30bc48a9165dc68c265dbf65bd842ea.jpg,0.12735952979479354,0.46975676801152594,-0.6875,
https://www.bilibili.com/video/BV16Z4y1Y7mF/,【美帝三头犬 04 牵绳人】为什么美国是最差的帝国主义,历史 美国 日本 二战 美军 王骁 杜鲁门 罗斯福 五大国 历史人文档案馆 历史人文档案馆2022第二季 ,一键三连，推荐给更多朋友！一起变得更强！ 【美帝三头犬 01】日本篇传送门：BV1EB4y1S7TT 【美帝三头犬 02】英国篇传送门：BV1XB4y1S7Xg 【美帝三头犬 03】澳大利亚篇传送门：BV16G411x7Kq,http://i2.hdslb.com/bfs/archive/f86ed469f30bc48a9165dc68c265dbf65bd842ea.jpg,0.12735952979479354,0.46975676801152594,-0.6875,
https://www.bilibili.com/video/BV1oi4y1D72t/,俄乌危机，欧洲各国人民上街抗议，到底哪个群体坐享其成？,俄罗斯 欧盟 美国 地理 历史 经济 王骁 乌克兰 打卡挑战 历史人文档案馆 ,每周见一次，有收获就来个三连吧！这把欧洲跟风制裁了一圈，结果能源和粮食价格齐齐上涨，自己的老百姓扛不住了，爆发了大规模抗议。今天咱们就聊四个部分：1、俄罗斯对于欧洲有多重要？2、欧盟领袖德国在考虑什么？3、国际市场中大家都受到什么冲击？4、谁赢麻了？,http://i0.hdslb.com/bfs/archive/5b037ade291bc1d63e3f78be7bcbc087616f88ef.jpg,0.0,0.3157851025196652,-0.875,
https://www.bilibili.com/video/BV1rr4y1W75P/,制裁第三年，华为过得如何，下一步怎样破局？,美国 日本 华为 历史 年报 回形针计划 历史人文档案馆 ,今天华为发布年报，高压下第3年，却也成了利润最高的一年，值得注意的是，企业研发费冲上全球第二。当年，美国崛起的过程就是抢夺欧洲人才的过程，日本崛起时缺少国际吸引力，自创了一套稳定军心的人才政策，中国发展到今天这一步，再往前走，就是要挑战西方科技霸权的核心领域，现在就是要开诚布公的培养人才，争夺人才。,http://i2.hdslb.com/bfs/archive/a784da6805fc6c7e577c135de8250e0d24e5f99f.jpg,0.0,0.3006975149263551,-1.1875,
https://www.bilibili.com/video/BV1h54y157FM/,抗战为什么8年改14年？无名英雄在怎样的绝望中，死命攒出新中国的星星之火？,五月哔刷片·五月新片 电影 历史 东北 中国 抗日 王骁 抗日战争 悬崖之上 影娱哔哔官 ,希望大家可以帮我点亮大拇指小金币小星星，让更多的人看到这段历史。,http://i1.hdslb.com/bfs/archive/f3bddeaad3caee8149d64e1bb5428c26934ce94e.jpg,0.0,0.10112251282501054,-1.0625,0.10964258683453852
https://www.bilibili.com/video/BV1J84y1w7RA/,美国火车侧翻，世界帝国的基建怎么这么差？| Overlap,故事档案馆 火车 美国 底浪 翻车 BT 王骁 小王 overlap ,美国俄亥俄州火车翻车，导致化学物品污染当地环境，严重损害老百姓的生活。美国交通曾经是美国的名片，但是今天中国铁路发展日新月异，美国基础设施却成了一个反面案例。为什么会这样，美国人如何看待国营铁路？这一集底浪Wave的Overlap，我和美国独立媒体BreakThrough News一起聊聊，铁路的私营和国营。,http://i2.hdslb.com/bfs/archive/921d5415db99c164411fda44e4e095a4e044be19.jpg,0.0,0.1130407841661348,-1.0,0.06942148438249962
https://www.bilibili.com/video/BV15b4y1Z7r6/,【人文社科①】b站最全志愿填报专业选择指南！61专业100嘉宾！第1期：历史国际关系政治社会心理英文小语种中文 文科专业高考志愿填报,科普 人文 2021高考季 英语 伢伢 历史 大学 毕业季 王骁 lks ,本期专业：历史、政治（含国际关系）、社会、心理、英文、小语种、中文 感谢各位嘉宾：小王Albert（王骁待产中）、小徐、多罗西123、-LKs-、伢伢gagako、溪子心理、是毛布斯呀、James、二锐、小蝶今天吃饱了、魏春露 下期预告：新闻传播、广告、法律、侦查、哲学、马克思主义、教育,http://i2.hdslb.com/bfs/archive/ecfd5bcf5eaaa57e8ea97f7be92b15b5f5cf96eb.jpg,0.0,0.10658510262542636,-0.625,0.06573486946260464
https://www.bilibili.com/video/BV14M4y1K7EN/,美国吃亏，苏联流泪，军阀让位，伊朗如何以神之名搞现代化？,人文 知识分享官 知识 历史 伊朗 石油 王骁 西亚 中东 天降猛男 ,欢迎有收获的朋友们，有币的捧个币场，没币的点点赞，帮我也变得更强！,http://i2.hdslb.com/bfs/archive/6456fe87437f680e8f10087e4698bac7ebc1b237.jpg,0.0,0.10658510262542638,0.25,
